"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Italy","ITA","Population growth (annual %)","SP.POP.GROW","1.99392840634543","0.668382874410405","0.676622989670017","0.729553242231653","0.822623699867765","0.842108616866269","0.77730440730804","0.723778172767654","0.631737252752781","0.56605850865814","0.528877031717835","0.466452872314018","0.567712498645759","0.678187647585975","0.654388935648374","0.597247218554801","0.498851058340731","0.424722057350148","0.356312950366128","0.289147207649738","0.20599975185947","0.12005432007943","0.0740818599916188","0.0362946366697159","0.0223509131041464","0.0288999392122477","0.00544928189677628","0.0102051195547741","0.0483205970471755","0.0750090045352437","0.0837085729587984","0.0692311889532843","0.0679244330808808","0.061135853002924","0.0203720739457194","0.00158856230917393","0.0281044080072756","0.05290695026061","0.0287740158774372","0.0168208444553697","0.045303631138613","0.0561676014374784","0.148916429490753","0.444507312655549","0.647182705470772","0.491389107503214","0.30055968851778","0.504933687397673","0.662469252941527","0.455613449577732","0.30759122234095","0.171978290995717","0.269541239520996","1.1592511168095","0.917504095962437","-0.0963761331392095","-0.169884073301448","-0.14986111697397","-0.190063640113791",""
"Italy","ITA","Urban population growth (annual %)","SP.URB.GROW","2.83640101522505","1.498806985842","1.50683335249242","1.55128737033283","1.63602671711505","1.64248495869882","1.56811258601466","1.50360997508773","1.40395453417646","1.32608737490657","1.27850466807299","1.20741706004214","1.01305086677094","0.988289736577197","0.962002539492351","0.903918571621992","0.804585418380234","0.728011211530533","0.657172197390672","0.589107555455562","0.503561294703949","0.41523676692889","0.147367695402826","0.00638799801151978","-0.00756463983110026","-0.00102329301802305","-0.0244854742714839","-0.0197350167961586","0.018367630826705","0.0450504195104213","0.0537393805274748","0.0392535418060194","0.121878595507805","0.150993200701863","0.110149317664983","0.0912844846717047","0.117720946939261","0.142443745434026","0.118229703401032","0.106198406299854","0.134599938879629","0.145383965430874","0.297433898475445","0.620956423105583","0.823321280014444","0.665741727415553","0.47460792573121","0.678681719512836","0.835914949481381","0.627292740575372","0.480438950517546","0.343066345015609","0.619579150261878","1.58783518674393","1.34137129947699","0.325701454305887","0.24612722181536","0.262998539787345","0.228197851468404",""
"Italy","ITA","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","7.48641883914016","5.48747776983932","4.84205248927523","1.95553270968082","2.40204614684968","5.16416328074524","6.40567760378134","5.87359459594813","5.49917950556602","4.71342067483722","1.34428044727264","3.10348970019818","6.40180593473045","4.81201385791708","-2.67318392284196","6.59231973824173","2.12582746405019","2.8729363910716","5.65322401027726","3.21717011535372","0.723232418069614","0.339224954168117","1.13249117163346","3.2027830351187","2.76838143154765","2.85436691162933","3.18143029401365","4.14404208471082","3.31086199529021","1.90043978320719","1.46817561124544","0.765807606496722","-0.913401708049989","2.13021548225964","2.88520232953732","1.23832837048366","1.77635122351289","1.78132437367471","1.60863473141113","3.73994653301939","1.89412399481279","0.104759513559856","-0.305508789463318","0.769317663351927","0.323656244406962","1.48515735957702","0.975922132963376","-1.61594062742927","-5.71150838276657","1.40091534299962","0.534287439584816","-3.24206011995115","-2.97240379999698","-0.917813879753353","0.875477401786128","1.45187539107614","1.86871464141127","0.966057526934264",""
"Italy","ITA","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","794.816044717399","890.688346111265","1007.04834663111","1119.72317177866","1221.73080588714","1316.46285381488","1431.0744873284","1551.51917278665","1698.42756042697","1832.49991828227","2026.21747487312","1949.14872333929","2050.73787711576","2175.58754564221","2212.20669215371","2106.07874846993","2264.05718699758","2204.17980666785","2247.56551683966","2340.04203541587","2318.42730013811","2265.93108965354","2206.54273410646","2203.86418771745","2253.71892374528","2284.81129783538","2311.54807247948","2407.25635314456","2462.79677752615","2566.10892465158","2583.88807748482","2645.67323732766","2627.34000777188","2611.99043754026","2578.46597846012","2799.37576154289","2796.15473585155","2834.4029460732","2912.94736525428","2957.31148591361","3012.19499987601","3020.62119454278","3037.2669647055","3168.52902114021","3169.93264162306","3214.67412061146","3175.79987086883","3149.57655346296","3087.5663310273","2869.92071205584","2930.58852412547","2828.40489139601","2709.29772810307","2579.47254262663","2414.48400158318","2481.75464546017","","","",""
"Italy","ITA","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","85.6104208954658","87.617144513331","89.3109802387936","89.1611811462079","90.1198093870077","90.0526868903059","90.5498640135678","91.6289825520547","92.4356126799736","93.3052262281325","93.3180237787483","93.4644277422204","93.7367118008874","94.5455530891835","93.683737865099","93.1620177584507","93.9231518849086","93.0277292510405","93.4931025734777","93.844069813235","93.7303886554851","93.3510872412231","92.58894558046","92.5221878531444","91.6157211130719","91.8147752149175","91.4578323656889","93.383433772931","92.9048437377345","93.29463061558","93.4381888314656","92.8953720752908","92.5812418928353","92.2702900571247","92.0879374489954","93.0246520668659","92.6146554090799","92.4434641764684","92.2858909543463","91.8413718480898","91.7300953931907","91.4034247883699","91.0358673382802","90.2161116960919","90.406242362097","89.8014461800991","89.1908787219636","88.1830431207349","86.8421531044015","84.8513256669208","84.6287740206212","84.4647972084689","82.2013557429068","79.9643345866816","78.5864226219386","79.9484547354947","","","",""
"Italy","ITA","Renewable energy consumption (% of total final energy consumption)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.78146348144952","4.66941317046864","4.83946324160706","4.77149529502877","5.2480221051995","4.46227833744118","4.74891389547652","4.83141976728715","4.75762543217441","5.02245978426758","5.11951479788946","5.38256684916779","5.59666992531442","6.24058670916462","5.93594854215673","6.70263907861876","7.51256404147516","8.73172974748555","10.8233492990728","12.5397527301242","12.7940929982975","11.9049402680297","14.3916489650323","16.3208850422585","17.0903588438944","16.5168505774397","","","",""
"Italy","ITA","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","65.3167016240568","68.6299659882852","72.5788986649106","74.4074707397282","74.8770028375011","76.6254237199936","77.7889599089265","79.2965129695427","80.5622987209328","81.1469375436769","81.7830568497905","81.4697038559081","81.9590870613341","82.8876260334664","82.5988613481289","82.0314727132063","82.7663495977271","83.0537976783657","83.4055147196634","84.3999752629075","84.7939688402871","83.730668876626","81.9072901855161","82.7731712175379","82.2424550236134","82.3905160971675","81.0349454334449","82.2457029543014","81.7355944614857","82.6596403559659","82.7279681603029","82.6341212470324","81.7361864990966","80.9387506237783","79.8704844175778","81.5123078720173","80.9609613285211","81.1459930992474","81.7286017337053","82.639022489153","83.5770384679968","84.4230696083365","83.7003423076947","83.5382570544466","84.064837070475","83.7920833042666","83.7151253356548","83.0854301565539","81.8823860631965","81.3307662429071","81.0026718172754","80.9821353995273","78.3338476613038","76.338774185009","75.0013037014096","76.4179821065515","","","",""
"Italy","ITA","CO2 emissions (kt)","EN.ATM.CO2E.KT","109357.274","124549.655","146456.313","164780.312","175957.328","189767.25","214248.142","234427.643","249495.346","270008.544","296740.974","311588.657","328970.237","354320.208","359406.337","342310.783","367312.389","356175.71","373234.594","387466.221","388969.691","378020.029","369681.271","361364.515","367649.753","372134.494","366454.311","383670.876","389780.098","408907.17","417550.289","423894.199","420535.227","411917.777","407378.031","430483.798","425830.375","430487.465","440153.677","441998.178","450564.29","450347.937","452610.476","468349.24","473970.751","473384.031","469346.664","462676.391","447186.983","401591.505","405361.181","397994.178","369468.585","345317.723","320411.459","","","","",""
"Italy","ITA","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","","4611.97656711245","4555.8883317771","4772.68274496568","5093.31144892858","5551.81603429452","5838.5639377942","6284.56787907265","6412.82730428888","6527.34290358489","6744.29186704468","6808.36005127144","6893.97146439988","6988.74051687669","6982.10169998515","7227.8908349347","7436.56892677431","7722.67634745305","7953.22909730878","8149.11572062463","8421.71069826367","8599.63149859163","8731.39924415843","8780.55917897662","8660.102724886","8633.6154322617","8422.07226873451","8562.42324880918","8360.32951056901","8061.47951516973","7807.0795129992","7587.2090967216","7170.05326174286","7085.60527846628","6739.42211792086","6548.34506224891","6154.04622231858","6177.78125932456","6261.2671605469","6244.73502392927","","","","","","","","","","",""
"Italy","ITA","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","1480.02984916","1534.15141089","1587.834578587","1644.833729701","1669.159068923","1628.2190822","1671.259018316","1694.598128839","1741.21993562","1865.8930597","1885.72524367","1849.73549576","1858.16878071","1841.63314666","1890.62245131","1944.03723722","1955.98341675","1968.74459465","2137.70375918","2304.89575321","2344.6291783","2315.6671555","2432.181787","2557.7053378","2626.4618188","2754.4412299","2750.9560642","2763.7745611","2827.2205902","2811.76301525","2767.996696","2816.5296295","2868.3449422","2942.274852","3313.2912778","3287.2587922","3387.9273893","3242.0693141","3196.8895421","","","","","","","","","","",""
